transect_id,along_baseline_m,transect_center_x_utm,transect_center_y_utm,transect_center_longitude,transect_center_latitude,1952,1990,1995,2000,2005,2010,2015,2020,2025
344,172000,223689.14504247587,2542531.3902210193,90.30512632781284,22.968154148351573,336.5626633827633,1208.252729471511,1170.1141562924313,1142.4590404376504,1170.1141731711687,976.5281215975701,976.5281265289523,948.8729487571691,948.8729487571691
345,172500,223689.14504247587,2543031.3902210193,90.30503682343927,22.972665869325308,551.2475428008183,1503.2314229539188,2783.192063443683,4221.180131139758,1594.0722253716085,1455.8016324918717,2893.807202316093,1317.5308633781387,1317.5308633781387
346,173000,223689.14504247587,2543531.3902210193,90.30494729649536,22.97717758740238,359.57410201625316,3953.7010644885013,3234.731439775671,3981.3536353463714,3345.3425158568716,2985.8562491026823,3234.7320451931737,3234.7317819759774,3234.7317819759774
347,173500,223689.14504247587,2544031.3902210193,90.30485774697775,22.981689302582307,1913.9285156560945,3935.1067011723644,3769.1965076358756,3437.3754066548718,3354.420002990897,3299.1166340362397,3243.8134184402297,3852.1534919779515,3852.1534919779515
348,174000,223689.14504247587,2544531.3902210193,90.30476817488311,22.986201014864612,3030.659096477495,2865.7817866980913,2893.432797358546,2948.734827816632,2948.7348294577096,3197.593617865263,3888.865419750131,3169.942671270488,3169.942671270488
349,174500,223689.14504247587,2545031.3902210193,90.30467858020812,22.990712724248805,804.3892748425424,3427.8800888202095,3953.2281800984056,524.594398710964,248.0869563970773,469.2929671827005,2819.578956399986,3206.680012061115,1741.218761503551
350,175000,223689.14504247587,2545531.3902210193,90.30458896294944,22.995224430734407,1661.0214746459096,4155.833701814117,699.670235083031,257.27342802481144,3464.6098015946627,146.67387280034018,423.1724159709702,3436.9607419969107,119.02401085040765
351,175500,223689.14504247587,2546031.3902210193,90.3044993231037,22.999736134320926,2360.0621166329947,3528.987508113438,4303.131895222119,708.8436503468547,238.81256661232328,238.81254904449452,3473.6912712134654,3473.691299907572,3473.6912712134654
352,176000,223689.14504247587,2546531.3902210193,90.30440966066756,23.004247835007895,2776.0683488859213,4561.010166802356,478.9809900270484,856.2582279718481,413.8913314269448,413.8913342221058,413.8913314269448,413.8913342221058,413.8913314269448
353,176500,223689.14504247587,2547031.3902210193,90.3043199756377,23.00875953279482,2815.46511698846,4791.227061403275,4487.1211075056635,699.548584041564,3740.6756147600245,4127.722094392811,699.5485836683074,4183.014297535003,699.5485836683074
354,177000,223689.14504247587,2547531.3902210193,90.30423026801077,23.013271227681223,2802.0690448618843,4247.368178137753,1095.772383693984,1068.1264273605484,4413.239164139901,3832.6897822767787,929.8964153270354,902.2503905172925,929.8964153270354
355,177500,223689.14504247587,2548031.3902210193,90.3041405377834,23.017782919666615,2807.1035214714066,2238.3821389959776,4947.535896350513,4726.383017636981,1353.7459141359432,1740.7751480235893,4449.941264840221,1215.5208505632763,4449.941264840221
356,178000,223689.14504247587,2548531.3902210193,90.30405078495227,23.02229460875052,2720.127835911291,1832.855850803462,2496.308742931491,1832.8558483948,4348.42668874035,1528.7719196586695,1722.27997210974,1722.2799745673256,1722.27997210974
357,178500,223689.14504247587,2549031.3902210193,90.30396100951403,23.02680629493246,2410.5280602244893,2394.8628787568014,2477.791517536447,3196.503854223265,3279.4318963665864,4661.556634055683,3196.503854223265,3224.1465413660044,4661.556634055683
358,179000,223689.14504247587,2549531.3902210193,90.3038712114653,23.031317978211934,2085.0679309006373,2818.622729089402,3012.11563230888,3039.7574425277417,3399.100436367007,3039.7574425815255,3067.3992515066057,3454.383846251876,3150.3246387081163
359,179500,223689.14504247587,2550031.3902210193,90.30378139080277,23.035829658588483,3026.07537896969,2634.2548239705793,2634.2548239705793,2689.536804036703,3187.073361264629,2689.536804036703,2689.536804036703,2689.536804036703,2689.536804036703
360,180000,223689.14504247587,2550531.3902210193,90.30369154752306,23.04034133606161,1421.2662155496946,1620.6942313608015,2615.741813501867,2615.7417894095997,1557.991274633765,93.02021598641295,1972.609356492263,1972.609356492263,756.4008635358477
361,180500,223689.14504247587,2551031.3902210193,90.30360168162282,23.04485301063084,1756.6686056858744,1410.5215404786868,1657.4964517298795,1521.0823403742397,2101.528617166565,2184.449734477268,2212.0901702716073,26.759049194632098,2267.3709894400963
362,181000,223689.14504247587,2551531.3902210193,90.3035117930987,23.04936468229568,2221.1340698815184,1677.6487686365435,1041.945716328104,1926.4031673111313,8.338059570436599,1954.042598920816,1224.443360010424,2285.7161159203097,2313.3555987657746
363,181500,223689.14504247587,2552031.3902210193,90.30342188194736,23.05387635105565,2402.0649504582107,1530.1799710038176,1502.5416206482332,1640.7336183939478,1723.6489026626514,1917.1181491267052,1944.756640410662,1972.3951409596484,1972.3951409596484
364,182000,223689.14504247587,2552531.3902210193,90.30333194816542,23.058388016910275,1893.5979647160275,1298.0785777596175,332.5016742362932,470.68752558884444,885.2462817626074,83.76746229751734,2707.5433445338567,2983.9068447695754,1629.7189884769614
365,182500,223689.14504247587,2553031.3902210193,90.30324199174954,23.062899679859072,1936.815531235392,1417.8034187762241,2578.5005159695284,2827.21971822303,699.2703436034208,2744.313385755202,367.63810067015584,3075.9384266715497,3103.5737399329664
366,183000,223689.14504247587,2553531.3902210193,90.30315201269634,23.06741133990156,4922.497231942398,2062.583144289325,2781.083261828375,2394.1991822492273,2338.9299164122494,2338.9299164122203,2394.1991822492273,2449.4684199591575,2504.737629542331
367,183500,223689.14504247587,2554031.3902210193,90.3030620110025,23.071922997037245,4636.881156128715,2513.882987121673,1712.503387903067,1684.8695181906514,1657.2356276578212,1657.2356276592182,1684.8695181906514,1657.2356276578212,1684.8695181906514
368,184000,223689.14504247587,2554531.3902210193,90.30297198666462,23.07643465126567,4964.775401774765,1638.7782893435215,1417.7142005597998,1417.7142039542086,1445.3472386073845,1141.3834923100949,754.5193136120506,478.1869093159039,726.8861229050963
369,184500,223689.14504247587,2555031.3902210193,90.30288193967935,23.080946302586323,4927.986193669785,1426.8998194071755,901.8883770911198,1316.3713042985764,1261.106996632181,1122.9461296653026,653.1978648202203,625.5655498617853,1067.681733722653
370,185000,223689.14504247587,2555531.3902210193,90.30279187004332,23.085457950998745,4955.513029747526,966.3558712114464,1601.8741226192797,1546.6118111815013,1574.242970374995,1601.8741225136328,1629.5052675954066,1629.5052675953775,1159.7748427487968
371,185500,223689.14504247587,2556031.3902210193,90.30270177775319,23.089969596502435,4760.696896624082,1307.1247115080187,1224.2337208765093,1445.276103847369,1224.2337314899778,1472.9063686223817,1500.5366263395408,1500.536626338202,1638.687809076684
372,186000,223689.14504247587,2556531.3902210193,90.30261166280557,23.094481239096925,3852.7224331881444,1758.3891618192429,2145.19820125142,2255.714857818559,2228.085713111068,2228.0857131124358,2863.554264644161,2255.714857818559,2310.973126117373
373,186500,223689.14504247587,2557031.3902210193,90.30252152519712,23.098992878781733,3510.3804659823363,2237.2522794650577,2817.443428063969,2872.699589648284,2927.9557030752767,2955.5837492573482,2983.2117884177133,2983.2117884177133,3010.839820933441
374,187000,223689.14504247587,2557531.3902210193,90.30243136492444,23.103504515556374,3010.878203543165,2798.965192207339,2937.1008758902026,3047.6093226064404,3130.490601973288,3379.134002181003,3213.3718589984637,3213.371787037817,3230.3951427027932
375,187500,223689.14504247587,2558031.3902210193,90.30234118198419,23.108016149420358,3952.400714067393,874.2627014862956,763.7556843932252,230.81224646390183,507.082754230767,183.59218356665224,341.32036429291475,396.5744658418989,3277.761665251892
376,188000,223689.14504247587,2558531.3902210193,90.302250976373,23.112527780373217,3682.328388126014,413.84071387693984,2442.355938496621,663.575885620201,3121.1478306278877,1160.8487379444123,1188.475075876544,1216.10142024784,1216.10142024784
377,188500,223689.14504247587,2559031.3902210193,90.30216074808746,23.117039408414467,3241.1341028329625,1804.3173351008154,1914.8159202816314,1721.4433618635812,1123.9354817061103,1510.6918224135297,1538.3173279693874,1538.3173266209778,1565.942842374323
